canonical_name	enwiki
Oliver Williams	Oliver Williams (American football)
Olivia Baker	Olivia Baker (runner)
Olivia Gruver	Olivia Gruver
Olivia Markezich	Olivia Markezich
Olivia McKoy	Olivia McKoy
Olli Hoare	Olli Hoare
Ollie Matson	Ollie Matson
Oluyemi Fagbamila	Oluyemi Fagbamila
Oluyemi Kayode	Oluyemi Kayode
Omar Brown	Omar Brown (defensive back, born 1975)
Omar Brown	Omar Brown (defensive back, born 1988)
Omar Brown	Omar Brown (safety)
Omar Brown	Omar Brown (sprinter, born 1975)
Omar Brown	Omar Brown (sprinter, born 1982)
Omar Brown	Omar Brown (defensive back, born 1975)
Omar Brown	Omar Brown (defensive back, born 1988)
Omar Brown	Omar Brown (safety)
Omar Brown	Omar Brown (sprinter, born 1975)
Omar Brown	Omar Brown (sprinter, born 1982)
Omar Craddock	Omar Craddock
Omar McLeod	Omar McLeod
Omo Osaghae	Omo Osaghae
Omolade Akinremi	Omolade Akinremi
Omolade Akinremi	Omolade Akinremi
Omotayo Akinremi	Omotayo Akinremi
Oneka Wilson	Oneka Wilson
Orlando Greene	Orlando Greene
Orlando McDaniel	Orlando McDaniel
Orlando McKay	Orlando McKay
Orlando Parker	Orlando Parker
Osbourne Moxey	Osbourne Moxey
Oscar Moore	Oscar Moore (athlete)
Oskar Edlund	Oskar Edlund
Oslen Barr	Oslen Barr
Otis Burrell	Otis Burrell
Otis Chandler	Otis Chandler
Otis Davis	Otis Davis
Otis Harris	Otis Harris
Otis McDaniel	Otis McDaniel
Otto Anderson	Otto Anderson
Otukile Lekote	Otukile Lekote
Owen Hamilton	Owen Hamilton
Pablo Sierra	Pablo Sierra (runner)
Pablo Solares	Pablo Solares
Pablo Squella	Pablo Squella
Paige Kouba	Paige Kouba
Pam Dukes	Pam Dukes
Pamela Kosgei	Pamela Kosgei
Paris Peoples	Paris Peoples
Parker Valby	Parker Valby
Parker Wolfe	Parker Wolfe
Parvej Khan	Parvej Khan
Pascal Dobert	Pascal Dobert
Passion Richardson	Passion Richardson
Pat Clohessy	Pat Clohessy
Pat Collins	Pat Collins (American football)
Pat Johnson	Pat Johnson (American football)
Pat Manson	Pat Manson
Pat Matzdorf	Pat Matzdorf
Pat O'Callaghan	Pat O'Callaghan
Patricia Hall	Patricia Hall (athlete)
Patricia Soman	Patricia Soman
Patricia Sylvester	Patricia Sylvester
Patricia Walsh	Patricia Walsh (athlete)
Patrick Dever	Patrick Dever
Patrick Feeney	Patrick Feeney
Patrick O'Connor	Patrick O'Connor (sprinter)
Patrick Peterson	Patrick Peterson
Patrick Peterson	Patrick Peterson (runner)
Patrick Sang	Patrick Sang
Patrick Smyth	Patrick Smyth (runner)
Patrick Tiernan	Patrick Tiernan
Patrick Williams	Patrick Williams (wide receiver)
Patrik Bodén	Patrik Bodén
Patrina Allen	Patrina Allen
Patrícia Mamona	Patrícia Mamona
Patterson Johnson	Patterson Johnson
PattiSue Plumer	PattiSue Plumer
Pau Tonnesen	Pau Tonnesen
Paul Bannon	Paul Bannon (runner)
Paul Chelimo	Paul Chelimo
Paul Collins	Paul Collins (end)
Paul Collins	Paul Collins (quarterback)
Paul Collins	Paul Collins (runner)
Paul Craig	Paul Craig (runner)
Paul Cummings	Paul Cummings
Paul Donovan	Paul Donovan (athlete)
Paul Drayton	Paul Drayton (athlete)
Paul Emordi	Paul Emordi
Paul Ereng	Paul Ereng
Paul Foreman	Paul Foreman
Paul Geis	Paul Geis
Paul Gibson	Paul Gibson (end)
Paul Gibson	Paul Gibson (wide receiver)
Paul Hackett	Paul Hackett (American football)
Paul Halleck	Paul Halleck
Paul Hamilton	Paul Hamilton (American football)
Paul Harris	Paul Harris (American football)
Paul Jessup	Paul Jessup (athlete)
Paul Johnson	Paul Johnson (American football coach, born 1984)
Paul Johnson	Paul Johnson (wheelchair athlete)
Paul Johnson	Paul Johnson (American football coach, born 1984)
Paul Johnson	Paul Johnson (wheelchair athlete)
Paul Jones	Paul Jones (American football)
Paul Jones	Paul Jones (judge)
Paul Jones	Paul Jones (American football)
Paul Jones	Paul Jones (judge)
Paul Jones	Paul Jones (American football)
Paul Jones	Paul Jones (judge)
Paul Jones	Paul Jones (American football)
Paul Jones	Paul Jones (judge)
Paul Lankford	Paul Lankford
Paul Larkins	Paul Larkins
Paul Martin	Paul Martin (Swiss athlete)
Paul Martin	Paul Martin (amputee athlete)
Paul McMullen	Paul McMullen
Paul Miller	Paul Miller (American football coach)
Paul Miller	Paul Miller (defensive end)
Paul Miller	Paul Miller (halfback)
Paul Miller	Paul Miller (American football coach)
Paul Miller	Paul Miller (defensive end)
Paul Miller	Paul Miller (halfback)
Paul Moore	Paul Moore (American football)
Paul Pearson	Paul Pearson (Canadian football)
Paul Roberts	Paul Roberts (American football)
Paul Terek	Paul Terek
Paul Warfield	Paul Warfield
Paul Williams	Paul Williams (Canadian football)
Paul Williams	Paul Williams (quarterback)
Paul Williams	Paul Williams (runner)
Paul Williams	Paul Williams (sprinter)
Paul Williams	Paul Williams (wide receiver)
Paul Williams	Paul Williams (Canadian football)
Paul Williams	Paul Williams (quarterback)
Paul Williams	Paul Williams (runner)
Paul Williams	Paul Williams (sprinter)
Paul Williams	Paul Williams (wide receiver)
Paul Wilson	Paul Wilson (pole vaulter)
Paula Berry	Paula Berry
Pauls Pujāts	Pauls Pujāts
Payton Hazzard	Payton Hazzard
Payton Jordan	Payton Jordan
Payton Otterdahl	Payton Otterdahl
Payton Stumbaugh Chadwick	Payton Chadwick
Pearson Jordan	Pearson Jordan
Pedro da Silva	Pedro da Silva (decathlete)
Pedro Rodrigues	Pedro Rodrigues (hurdler)
Pedrya Seymour	Pedrya Seymour
Percell Gaskins	Percell Gaskins
Percival Spencer	Percival Spencer (sprinter)
Percy Beard	Percy Beard
Perdita Felicien	Perdita Felicien
Perry Williams	Perry Williams (cornerback)
Perry Williams	Perry Williams (running back)
Pertti Pousi	Pertti Pousi
Peta-Gaye Dowdie	Peta-Gaye Dowdie
Peta-Gaye Gayle	Peta-Gaye Gayle
Pete Close	Pete Close
Pete Julian	Pete Julian
Pete Kaligis	Pete Kaligis
Pete Rasmus	Pete Rasmus
Pete Richardson	Pete Richardson
Peter Borglund	Peter Borglund
Peter Boyce	Peter Boyce
Peter Callahan	Peter Callahan
Peter Callahan	Peter Callahan
Peter Farmer	Peter Farmer (hammer thrower)
Peter Koech	Peter Koech
Peter Maru	Peter Maru
Peter McColgan	Peter McColgan
Peter Okodogbe	Peter Okodogbe
Peter Rono	Peter Rono
Peter Sherry	Peter Sherry
Peter van der Westhuizen	Peter van der Westhuizen
Peter Wright	Peter Wright (American football)
Peter Zaremba	Peter Zaremba (hammer thrower)
Petter Olson	Petter Olson
Peyton Bair	Peyton Bair
Phethisang Makhethe	Phethisang Makhethe
Phil Alexander	Phil Alexander
Phil Conley	Phil Conley
Phil Hansen	Phil Hansen (American football)
Phil Olsen	Phil Olsen (American football)
Phil Olsen	Phil Olsen (javelin thrower)
Phil Peterson	Phil Peterson
Phil Price	Phil Price (Canadian football)
Phil Reavis	Phil Reavis
Phil Robins	Phil Robins
Phil Shinnick	Phil Shinnick
Phil White	Phil White (American football)
Phillip Adams	Phillip Adams (American football)
Phillip Riley	Phillip Riley
Phoebe Anderson	Phoebe Anderson
Phyllis Francis	Phyllis Francis
Pierre Brown	Pierre Browne
Pilar McShine	Pilar McShine
Piotr Buciarski	Piotr Buciarski
Pippi Lotta Enok	Pippi Lotta Enok
Pitch Johnson	Pitch Johnson
PJai Austin	PJ Austin
Polly Plumer	Polly Plumer
Poppy Tank	Poppy Tank
Porscha Lucas	Porscha Lucas
Portious Warren	Portious Warren
Prestina Oluchi Ochonogor	Prestina Ochonogor
Preston Carrington	Preston Carrington
Preston Davis	Preston Davis (American football)
Prezel Hardy	Prezel Hardy
Prince Mumba	Prince Mumba (athlete)
Priscilla Frederick	Priscilla Frederick
Proverb Jacobs	Proverb Jacobs
Pål Arne Fagernes	Pål Arne Fagernes
Qadry Ismail	Qadry Ismail
Quanesha Burks	Quanesha Burks
Quentin Iglehart-Summers	Quentin Iglehart-Summers
Quentin Wheeler	Quentin Wheeler
Quincy Butler	Quincy Butler (gridiron football)
Quincy Downing	Quincy Downing
Quincy Hall	Quincy Hall
Quincy Penn	Quincy Penn
Quincy Watts	Quincy Watts
Raasin McIntosh	Raasin McIntosh
Rachel Glenn	Rachel Glenn
Rachel Yurkovich	Rachel Yurkovich
Raevyn Rogers	Raevyn Rogers
Rafeeq Curry	Rafeeq Curry
Rafer Johnson	Rafer Johnson
Rai Benjamin	Rai Benjamin
Raigo Toompuu	Raigo Toompuu
Raimo Pihl	Raimo Pihl
Ralford Mullings	Ralford Mullings
Ralph Boston	Ralph Boston
Ralph Hill	Ralph Hill (American football)
Ralph Hill	Ralph Hill (runner)
Ralph King	Ralph King (American football)
Ralph Mann	Ralph Mann
Ralph Metcalfe	Ralph Metcalfe
Ralph Miller	Ralph Miller
Ralph Miller	Ralph Miller (American football)
Ramona Pagel	Ramona Pagel
Randall Cunningham	Randall Cunningham
Randall Cunningham II	Randall Cunningham II
Randolph Ross	Randolph Ross
Randy Barnes	Randy Barnes
Randy Clark	Randy Clark (American football)
Randy Givens	Randy Givens
Randy Hall	Randy Hall (American football)
Randy Hall	Randy Hall (American football)
Randy Heisler	Randy Heisler
Randy Jackson	Randy Jackson (baseball)
Randy Jackson	Randy Jackson (offensive lineman)
Randy Jackson	Randy Jackson (running back)
Randy Jones	Randy Jones (bobsleigh)
Randy Jordan	Randy Jordan
Randy Lewis	Randy Lewis (triple jumper)
Randy Matson	Randy Matson
Randy White	Randy White (American football)
Randy Williams	Randy Williams
Randy Williams	Randy Williams
Ranza Clark	Ranza Clark
Rasheeme Griffith	Rasheeme Griffith
Raven Saunders	Raven Saunders
Ray Brown	Ray Brown (American football, born 1936)
Ray Brown	Ray Brown (offensive lineman)
Ray Brown	Ray Brown (runner)
Ray Brown	Ray Brown (safety)
Ray Brown	Ray Brown (American football, born 1936)
Ray Brown	Ray Brown (offensive lineman)
Ray Brown	Ray Brown (runner)
Ray Brown	Ray Brown (safety)
Ray Conger	Ray Conger
Ray Flynn	Ray Flynn (athlete)
Ray Hall	Ray Hall (American football)
Ray Hill	Ray Hill (American football)
Ray Jenkins	Ray Jenkins (American football)
Ray Johnson	Ray Johnson (American football)
Ray Johnson	Ray Johnson (Canadian football)
Ray Kimble	Ray Kimble
Ray McDonald	Ray McDonald
Ray McDonald	Ray McDonald (running back)
Ray Norton	Ray Norton
Ray Patterson	Ray Patterson (basketball)
Ray Smith	Ray Smith (American football coach)
Ray Smith	Ray Smith (center)
Ray Smith	Ray Smith (running back)
Ray Smith	Ray Smith (American football coach)
Ray Smith	Ray Smith (center)
Ray Smith	Ray Smith (running back)
Ray Stewart	Ray Stewart (sprinter)
Ray Stewart	Ray Stewart (sprinter)
Ray Watson	Ray Watson (runner)
Rayfield Dupree	Rayfield Dupree
Raymond Clayborn	Raymond Clayborn
Raymond Ekevwo	Raymond Ekevwo
Raymond Higgs	Raymond Higgs
Raymond Pierre	Raymond Pierre
Rebecca Mehra	Rebecca Mehra
Red Ramsey	Red Ramsey
Reese Hoffa	Reese Hoffa
Reggie Clark	Reggie Clark
Reggie Davis	Reggie Davis (tight end)
Reggie Davis	Reggie Davis (wide receiver)
Reggie Jackson	Reggie Jackson
Reggie Jones	Reggie Jones (cornerback, born 1969)
Reggie Jones	Reggie Jones (cornerback, born 1986)
Reggie Jones	Reggie Jones (sprinter)
Reggie Jones	Reggie Jones (wide receiver)
Reggie Jones	Reggie Jones (cornerback, born 1969)
Reggie Jones	Reggie Jones (cornerback, born 1986)
Reggie Jones	Reggie Jones (sprinter)
Reggie Jones	Reggie Jones (wide receiver)
Reggie Kelly	Reggie Kelly
Reggie Lawrence	Reggie Lawrence
Reggie Lewis	Reggie Lewis (cornerback)
Reggie Lewis	Reggie Lewis (defensive lineman)
Reggie Pearman	Reggie Pearman
Reggie Robinson	Reggie Robinson
Reggie Torian	Reggie Torian
Reggie Witherspoon	Reggie Witherspoon (sprinter)
Reggie Wyatt	Reggie Wyatt
Regina George	Regina George (sprinter)
Regina Jacobs	Regina Jacobs
Regina Joyce	Regina Joyce
Reid Buchanan	Reid Buchanan
Reidar Lorentzen	Reidar Lorentzen
Remona Burchell	Remona Burchell
Renaldo Nehemiah	Renaldo Nehemiah
René Schmidheiny	René Schmidheiny
Reuben Reina	Reuben Reina
Reuben Reina	Reuben Reina
Rex Cawley	Rex Cawley
Rex Wilson	Rex Wilson (runner)
Reyna Thompson	Reyna Thompson
Reynaldo Brown	Reynaldo Brown
Rhasidat Adeleke	Rhasidat Adeleke
Rhema Otabor	Rhema Otabor
Rhesa Foster	Rhesa Foster
Rhonda Watkins	Rhonda Watkins
Ricardo Chambers	Ricardo Chambers
Ricardo Montes de Oca	Ricardo Montes de Oca
Ricardo Williams	Ricardo Williams (sprinter)
Rich Brooks	Rich Brooks
Rich Ferguson	Rich Ferguson (runner)
Rich Jackson	Rich Jackson
Rich Kenah	Rich Kenah
Rich Robinson	Rich Robinson (Canadian football)
Rich Thompson	Richard Thompson (sprinter)
Rich Wolhuter	Rick Wohlhuter
Richard Adu-Bobie	Richard Adu-Bobie
Richard Bucknor	Richard Bucknor
Richard Cooper	Richard Cooper (American football)
Richard Duncan	Richard Duncan (athlete)
Richard George	Richard George (javelin thrower)
Richard Hardware	Richard Hardware
Richard James	Richard James (sprinter, born 1956)
Richard James	Richard James (sprinter, born 1979)
Richard Jones	Richard Jones (sprinter)
Richard Jones	Richard Jones (sprinter)
Richard Kiplagat	Richard Kiplagat
Richard Louis	Richard Louis
Richard Murphy	Richard Murphy (American football)
Richard Olsen	Richard Olson (politician)
Richard Phillips	Richard Phillips (hurdler)
Richard Rock	Richard Rock (long jumper)
Richard Sherman	Richard Sherman (American football)
Richard Simonsen	Richard Simonsen
Richard Smith	Richard Smith (American football coach)
Richard Smith	Richard Smith (wide receiver)
Richard Stebbins	Richard Stebbins
Richard Thompson	Richard Thompson (sprinter)
Richie Boulet	Richie Boulet
Richie Harris	Richard Harris (American football)
Rick Cunningham	Rick Cunningham (American football)
Rick Dowswell	Rick Dowswell
Rick Noji	Rick Noji
Rick Sloan	Rick Sloan
Rick Wanamaker	Rick Wanamaker
Ricky Babineaux	Ricky Babineaux
Ricky Robertson	Ricky Robertson
Ricky Thompson	Ricky Thompson
Riker Hylton	Riker Hylton
Rikke Rønholt	Rikke Rønholt
Rikkoi Brathwaite	Rikkoi Brathwaite
Riley Chamberlain	Riley Chamberlain
Rilus Doolittle	Rilus Doolittle
Rilwan Alowonle	Rilwan Alowonle
Rink Babka	Rink Babka
Rivaldo Marshall	Rivaldo Marshall
Roald Bradstock	Roald Bradstock
Roar Hoff	Roar Hoff
Rob Johnson	Rob Johnson (American football)
Rob Mullett	Rob Mullett
Rob Muzzio	Rob Muzzio
Rob Myers	Rob Myers
Robby Andrews	Robby Andrews
Robert Cannon	Robert Cannon (triple jumper)
Robert Cheseret	Robert Cheseret
Robert Clark	Robert Clark (gridiron football)
Robert Douglas	Robert Douglas (American football)
Robert Dunning	Robert Dunning
Robert Ford	Robert Ford (American football)
Robert Foster	Robert Foster (American football)
Robert Foster	Robert Foster (hurdler)
Robert Foster	Robert Foster (American football)
Robert Foster	Robert Foster (hurdler)
Robert Gary	Robert Gary
Robert Grant	Robert Grant (athlete)
Robert Green	Robert Green (American football)
Robert Gregory	Robert Gregory (sprinter)
Robert Griffin	Robert Griffin (offensive lineman)
Robert Hall	Robert Hall (gridiron football)
Robert Heppenstall	Robert Heppenstall
Robert Howard	Robert Howard (triple jumper)
Robert Johnson	Robert Johnson (safety)
Robert Johnson	Robert Johnson (tight end)
Robert Johnson	Robert Johnson (wide receiver)
Robert Jones	Robert Jones (linebacker)
Robert Jones	Robert Jones (offensive lineman)
Robert Kelley	Robert Kelley (American football)
Robert LeGendre	Robert LeGendre
Robert Maxwell	Robert Maxwell (hurdler)
Robert Mitchell	Robert Mitchell (high jumper)
Robert Ouko	Robert Ouko (athlete)
Robert Reading	Robert Reading (athlete)
Robert Smith	Robert Smith (defensive end)
Robert Smith	Robert Smith (running back)
Robert Smith	Robert Smith (safety)
Robert Smith	Robert Smith (defensive end)
Robert Smith	Robert Smith (running back)
Robert Smith	Robert Smith (safety)
Robert Smith	Robert Smith (defensive end)
Robert Smith	Robert Smith (running back)
Robert Smith	Robert Smith (safety)
Robert Taylor	Robert Taylor (gridiron football)
Robert Taylor	Robert Taylor (sprinter, born 1948)
Robert Taylor	Robert Taylor (sprinter, born 1953)
Robert Thomas	Robert Thomas (defensive lineman)
Robert Thomas	Robert Thomas (fullback)
Robert Thomas	Robert Thomas (linebacker)
Robert Thompson	Robert Thompson (American football)
Robert Weir	Robert Weir (discus thrower)
Robert Wilson	Robert Wilson (running back)
Robert Wilson	Robert Wilson (wide receiver)
Robin van Helden	Robin van Helden
Robison Pratt	Robison Pratt
Rochelle Stevens	Rochelle Stevens
Rocky Hansen	Rocky Hansen
Rod Barksdale	Rod Barksdale
Rod Davis	Rod Davis (gridiron football)
Rod DeHaven	Rod DeHaven
Rod Ewaliko	Rod Ewaliko
Rod Hill	Rod Hill
Rod Jones	Rod Jones (cornerback)
Rod Jones	Rod Jones (offensive lineman)
Rod Jones	Rod Jones (tight end)
Rod Milburn	Rod Milburn
Rod Perry	Rod Perry (American football)
Rod Richard	Rod Richard
Rod Tolbert	Rod Tolbert
Rod Woodson	Rod Woodson
Roddie Haley	Roddie Haley
Rodney Brown	Rodney Brown (athlete)
Rodney Martin	Rodney Martin (sprinter)
Rodney Rowe	Rodney Rowe (athlete)
Rodney Wilson	Rod Wilson
Rodrigo Zelaya	Rodrigo Zelaya
Roger Colglazier	Roger Colglazier
Roger Johnson	Roger Johnson (hurdler)
Roger Jones	Roger Jones (American football)
Roger Jones	Roger Jones (American football)
Roger Kingdom	Roger Kingdom
Rohn Stark	Rohn Stark
Rohsaan Griffin	Rohsaan Griffin
Roisin McGettigan	Roisin McGettigan
Roisin Willis	Roisin Willis
Rojé Stona	Rojé Stona
Roland McGhee	Roland McGhee
Roland Sales	Roland Sales
Roland Sink	Roland Sink
Rolando Cruz	Rolando Cruz
Rollin Prather	Rollin Prather
Romaine Beckford	Romaine Beckford
Roman Linscheid	Roman Linscheid
Roman Oravec	Roman Oravec
Ron Backes	Ron Backes
Ron Bramlett	Ron Bramlett
Ron Brown	Ron Brown (linebacker)
Ron Brown	Ron Brown (wide receiver)
Ron Copeland	Ron Copeland (athlete)
Ron Davis	Ron Davis (defensive back)
Ron Delany	Ron Delany
Ron George	Ron George (American football)
Ron Hill	Ron Hill
Ron Hughes	Ron Hughes (American football)
Ron Jessie	Ron Jessie
Ron Johnson	Ron Johnson (cornerback)
Ron Johnson	Ron Johnson (defensive end)
Ron Johnson	Ron Johnson (quarterback)
Ron Johnson	Ron Johnson (running back)
Ron Johnson	Ron Johnson (wide receiver, born 1958)
Ron Johnson	Ron Johnson (wide receiver, born 1980)
Ron Jones	Ron Jones (American football)
Ron Jones	Ron Jones (sprinter)
Ron Jourdan	Ron Jourdan
Ron Kutschinski	Ron Kutschinski
Ron Lee	Ron Lee (American football)
Ron Mitchell	Ron Mitchell (coach)
Ron Morris	Ron Morris (American football)
Ron Morris	Ron Morris (Canadian football)
Ron Morris	Ron Morris (pole vaulter)
Ron Soble	Ron Soble
Ron Stonitsch	Ron Stonitsch
Ron Whitney	Ron Whitney
Ronald Forbes	Ronald Forbes
Rondel Sorrillo	Rondel Sorrillo
Ronetta Smith	Ronetta Smith
Ronnie Ash	Ronnie Ash
Ronnie Baker	Ronnie Baker (sprinter)
Ronnie Harris	Ronnie Harris (American football)
Ronnie Harris	Ronnie Harris (sprinter)
Ronnie Powell	Ronnie Powell (American football)
Ronnie Ray Smith	Ronnie Ray Smith
Ronnie Taylor	Ron Taylor (American football)
Ronnie Williams	Ronnie Williams (American football)
Rory Linkletter	Rory Linkletter
Roscoe Cook	Roscoe Cook
Roscoe Divine	Roscoe Divine
Rose Richmond	Rose Richmond
Rose-Anne Galligan	Rose-Anne Galligan
Rosemary Chukwuma	Rosemary Chukwuma
Rosemary Longisa	Rosemary Longisa
Rosemary Ryan	Rosemary Ryan
Rosey Edeh	Rosey Edeh
Rosey Effiong	Rosey Effiong
Rosey Grier	Rosey Grier
Rosie Clarke	Rosie Clarke
Ross Donoghue	Ross Donoghue
Ross MacKenzie	Ross MacKenzie (sprinter)
Ross Millington	Ross Millington
Rowan Hamilton	Rowan Hamilton
Roxbert Martin	Roxbert Martin
Roy Cochran	Roy Cochran
Roy Martin	Roy Martin (sprinter)
Roy Staley	Roy Staley
Roy Williams	Roy Williams (decathlete)
Roy Williams	Roy Williams (defensive tackle)
Roy Williams	Roy Williams (safety)
Roy Williams	Roy Williams (wide receiver)
Rubin Williams	Rubin Williams (sprinter)
Rudon Bastian	Rudon Bastian
Rudy Chapa	Rudy Chapa
Rudy Reid	Rudy Reid
Rudy Winkler	Rudy Winkler
Ruebin Walters	Ruebin Walters
Rufina Ubah	Rufina Ubah
Ruperta Charles	Ruperta Charles
Rushelle Burton	Rushelle Burton
Russ Buller	Russ Buller
Russ Hodge	Russ Hodge
Russ Rogers	Russ Rogers
Russ Rogers	Russ Rogers
Russell Carter	Russell Carter (American football)
Russell Robinson	Russell Robinson (triple jumper)
Ruth Usoro	Ruth Usoro
Ruth Waithera Nganga	Ruth Waithera
Ruth Waller	Ruth Waller
Ryan Carter	Ryan Carter (American football)
Ryan Clark	Ryan Clark (American football)
Ryan Collins	Ryan Collins
Ryan Crouser	Ryan Crouser
Ryan Ford	Ryan Ford (runner)
Ryan Foster	Ryan Foster (runner)
Ryan Hall	Ryan Hall (runner)
Ryan Harlan	Ryan Harlan
Ryan Hayden	Ryan Hayden
Ryan Hill	Ryan Hill
Ryan Johnson	Ryan Johnson (hammer thrower)
Ryan Martin	Ryan Martin (athlete)
Ryan Shay	Ryan Shay
Ryan Smeeton	Ryan Smeeton
Ryan Smith	Ryan Smith (cornerback, born 1985)
Ryan Smith	Ryan Smith (cornerback, born 1993)
Ryan Smith	Ryan Smith (wide receiver)
Ryan Smith	Ryan Smith (cornerback, born 1985)
Ryan Smith	Ryan Smith (cornerback, born 1993)
Ryan Smith	Ryan Smith (wide receiver)
Ryan Taylor	Ryan Taylor (American football)
Ryan Travis	Ryan Travis
Ryan Vail	Ryan Vail
Ryan Whiting	Ryan Whiting
Ryan Willie	Ryan Willie
Ryan Wilson	Ryan Wilson (hurdler)
Ryan Wilson	Ryan Wilson (hurdler)
Ryann Krais	Ryann Krais
Ryann Porter	Ryann Porter
Rūta Lasmane	Rūta Lasmane
Saad Hinti	Saad Hinti
Sabrina Dornhoefer	Sabrina Dornhoefer
Sadie Engelhardt	Sadie Engelhardt
Sage Watson	Sage Watson
Saidat Onanuga	Saidat Onanuga
Salaam Gariba	Salaam Gariba
Salif Mane	Salif Mane
Sally Kipyego	Sally Kipyego
Salma Elbadra	Salma Elbadra
Sam Adams	Sam Adams (American football)
Sam Adams	Sam Adams (Canadian football)
Sam Burley	Sam Burley
Sam Chelanga	Sam Chelanga
Sam Colson	Sam Colson
Sam Crouser	Sam Crouser
Sam Davis	Sam Davis (American football)
Sam Ellis	Sam Ellis (runner)
Sam Evans	Sam Evans
Sam Felton	Sam Felton
Sam Francis	Sam Francis (American football)
Sam Gilman	Sam Gilman (runner)
Sam Graddy	Sam Graddy
Sam Jefferson	Sam Jefferson
Sam Johnson	Sam Johnson (defensive back)
Sam Johnson	Sam Johnson (wide receiver)
Sam Kendricks	Sam Kendricks
Sam Mattis	Sam Mattis
Sam McEntee	Sam McEntee
Sam Prakel	Sam Prakel
Sam Stoller	Sam Stoller
Sam Whitmarsh	Sam Whitmarsh
Samantha George	Samantha George (athlete)
Samantha George	Samantha George (athlete)
Samantha Henry	Samantha Henry-Robinson
Samantha Murray	Samantha Murray
Samie Parker	Samie Parker
Samir Vincent	Samir Vincent
Samirah Moody	Samirah Moody
Sammy Koskei	Sammy Koskei
Sammy Walker	Sammy Walker (American football)
Samson Colebrooke	Samson Colebrooke
Samson Kimobwa	Samson Kimobwa
Samuel Matete	Samuel Matete
Samuel Ogazi	Samuel Ogazi
Samuel Vessat	Samuel Vessat
Sanaä Barnes	Sanaa Barnes
Sandi Morris	Sandi Morris
Sandie Richards	Sandie Richards
Sandra Smith	Sandra Smith (reporter)
Sanjay Ayre	Sanjay Ayre
Santiago Lorenzo	Santiago Lorenzo
Sanu Jallow-Lockhart	Sanu Jallow-Lockhart
Sara Gorton Slattery	Sara Slattery
Sara Savatović	Sara Savatović
Sara Sutherland	Sara Sutherland
Sara Zabarino	Sara Zabarino
Sarah Bowman Brown	Sarah Brown (athlete)
Sarah Nambawa	Sarah Nambawa
Sarah Pagano	Sarah Pagano
Sarah Schwald	Sarah Schwald
Sarah Tait	Sarah Tait (runner)
Savannah Sutherland	Savannah Sutherland
Savanté Stringfellow	Savanté Stringfellow
Savatheda Fynes	Savatheda Fynes
Schowonda Williams	Schowonda Williams
Schuyler Enck	Schuyler Enck
Scott Anderson	Scott Anderson (American football)
Scott Anderson	Scott Anderson (athlete)
Scott Cappos	Scott Cappos
Scott Davis	Scott Davis (defensive lineman)
Scott Davis	Scott Davis (offensive lineman)
Scott Davis	Scott Davis (defensive lineman)
Scott Davis	Scott Davis (offensive lineman)
Scott English	Scott English (basketball)
Scott Hennig	Scott Hennig
Scott Huffman	Scott Huffman
Scott Martin	Scott Martin (Pennsylvania politician)
Scott Martin	Scott Martin (thrower)
Scott Neilson	Scott Neilson (hammer thrower)
Scott Overall	Scott Overall
Scott Peters	Scott Peters (American football)
Scott Rider	Scott Rider
Scott Roth	Scott Roth (athlete)
Scott Russell	Scott Russell (javelin thrower)
Scott Sellers	Scott Sellers
Scott Turner	Scott Turner (American football coach)
Scott Turner	Scott Turner (politician)
Scott Young	Scott Young (American football)
Scottie Vines	Scottie Vines
Scottie Vines	Scottie Vines (high jumper)
Scotty Miller	Scotty Miller
Sean Bailey	Sean Bailey (sprinter)
Sean Burrell	Sean Burrell
Sean Dolan	Sean Dolan (runner)
Sean Dollman	Sean Dollman
Sean Donnelly	Sean Donnelly
Sean Furey	Sean Furey
Sean Graham	Sean Graham
Sean Kaley	Sean Kaley
Sean Lee	Sean Lee
Sean McGorty	Sean McGorty
Sean Murphy	Sean Murphy (American football)
Seibert Straughn	Seibert Straughn
Seilala Sua	Seilala Sua
Selim Nurudeen	Selim Nurudeen
Selwyn Jones	Selwyn Jones
Semira Killebrew	Semira Killebrew
Semoy Hackett	Semoy Hackett
Seneca Lassiter	Seneca Lassiter
Senoj-Jay Givans	Senoj-Jay Givans
Serene Ross	Serene Ross
Serge Bengono	Serge Bengono
Seth Amoo	Seth Amoo
Seun Adigun	Seun Adigun
Seymour Fagan	Seymour Fagan
Sha'Carri Richardson	Sha'Carri Richardson
Sha'Keela Saunders	Sha'Keela Saunders
Sha-ri Pendleton	Sha-ri Pendleton
Shadae Lawrence	Shadae Lawrence
Shadrack Kipchirchir	Shadrack Kipchirchir
Shae Anderson	Shae Anderson
Shafiqua Maloney	Shafiqua Maloney
Shakima Wimbley	Shakima Wimbley
Shalane Flanagan	Shalane Flanagan
Shalaya Kipp	Shalaya Kipp
Shalonda Solomon	Shalonda Solomon
Shamar Sands	Shamar Sands
Shameka Marshall	Shameka Marshall
Shamier Little	Shamier Little
Shana Cox	Shana Cox
Shana Grebo	Shana Grebo
Shana Williams	Shana Williams
Shane Brathwaite	Shane Brathwaite
Shane Charles	Shane Charles
Shane Collins	Shane Collins (American football)
Shanelle Porter	Shanelle Porter
Shani Marks	Shani Marks
Shania Collins	Shania Collins
Shanice Love	Shanice Love
